Phylotype	taxonomy
Actinomyces.naeslundii	Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Actinomyces.naeslundii
Uncultured.bacterium.clone.Eldhufec234	Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_unculturedActinomycetaceae
Atopobium.minutum	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Atopobium_Atopobium.minutum
Atopobium.parvulum	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Atopobium_Atopobium.parvulum
Bifidobacterium.adolescentis	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.adolescentis
Bifidobacterium.angulatum	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.angulatum
Bifidobacterium.animalis	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.animalis
Bifidobacterium.bifidum	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.bifidum
Bifidobacterium.breve	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.breve
Bifidobacterium.catenulatum	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.catenulatum
Bifidobacterium.dentium	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.dentium
Bifidobacterium.gallicum	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.gallicum
Bifidobacterium.infantis	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.longum
Bifidobacterium.longum	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.longum
Bifidobacterium.pseudocatenulatum	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.pseudocatenulatum
Bifidobacterium.pseudolongum	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium.pseudolongum
Bifidobacterium.thermophilum	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_unculturedbifidobacterium
uncultured.bacterium.(human.infant).N14A	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_unculturedbifidobacterium
uncultured.bacterium.Adhufec069rbh	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_unculturedbifidobacterium
Uncultured.bacterium.clone.Eldhufec085	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_unculturedbifidobacterium
Uncultured.bacterium.clone.Eldhufec088	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_unculturedbifidobacterium
uncultured.Bifidobacterium.sp..13D	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_environmental.samples
uncultured.Bifidobacterium.sp..15D	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_environmental.samples
uncultured.Bifidobacterium.sp..16B	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_environmental.samples
uncultured.Bifidobacterium.sp..16C	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_environmental.samples
uncultured.Bifidobacterium.sp..9A	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_environmental.samples
uncultured.Bifidobacterium.sp..9C	Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_environmental.samples
Collinsella.aerofaciens	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_Collinsella.aerofaciens
Collinsella.intestinalis	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_Collinsella.intestinalis
Collinsella.sp..CB52	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_Collinsella.sp..CB52
Collinsella.stercoris	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_Collinsella.stercoris
Uncultured.bacterium.clone.Eldhufec074	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_unculturedCollinsella
Corynebacterium.ulcerans	Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_Corynebacterium.diphtheriae
Corynebacterium.xerosis	Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_Corynebacterium.xerosis
uncultured.bacterium.LI92	Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_unculturedCorynebacterium
Denitrobacterium.sp..CCUG.45665	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Denitrobacterium_Denitrobacterium.sp..CCUG.45665
Eggerthella.lenta	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Eggerthella_Eggerthella.lenta
Uncultured.bacterium.clone.Eldhufec076	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Eggerthella_Eggerthella.lenta
Uncultured.bacterium.clone.Eldhufec078	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Eggerthella_Eggerthella.lenta
uncultured.bacterium.ME67	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Eggerthella_Eggerthella.lenta
uncultured.Gram-positive.bacterium.NO1H5	Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Eggerthella_unculturedEggerthella
Micrococcus.luteus	Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Micrococcus_Micrococcus.luteus
Propionibacterium.acnes	Actinobacteria_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Cutibacterium_Cutibacterium.acnes
Propionibacterium.freudenreichii	Actinobacteria_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Propionibacterium_Propionibacterium.freudenreichii
Propionibacterium.granulosum	Actinobacteria_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Cutibacterium_Cutibacterium.granulosum
Uncultured.bacterium.UC7-11	Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Asteroleplasma_unculturedAsteroleplasma
Aerococcus.viridans	Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Aerococcus_Aerococcus.viridans
Aneurinibacillus.aneurinolyticus	Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Aneurinibacillus_Aneurinibacillus.aneurinolyticus
Bacillus.cereus	Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_Bacillus.cereus.group
Bacillus.halodurans	Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_Bacillus.halodurans
